Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Samoa,WSM,174.02497765
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,San Marino,SMR,2401.8581653
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Sao Tome and Principe,STP,44.33745195
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Saudi Arabia,SAU,773.88649951
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Senegal,SEN,13.56280571
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Serbia,SRB,280.07852757
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Seychelles,SYC,534.13655988
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Sierra Leone,SLE,9.7309965
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Singapore,SGP,1172.31864715
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Sint Maarten (Dutch part),SXM,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Slovak Republic,SVK,940.00844365
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Slovenia,SVN,1326.77453475
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Solomon Islands,SLB,70.47702868
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Somalia,SOM,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,South Africa,ZAF,263.25000317
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,South Sudan,SSD,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Spain,ESP,1700.64727485
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Sri Lanka,LKA,65.31818176
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,St. Kitts and Nevis,KNA,425.24985655
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,St. Lucia,LCA,203.40609433
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,St. Martin (French part),MAF,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,St. Vincent and the Grenadines,VCT,192.38594579
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Sudan,SDN,39.01167374
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Suriname,SUR,217.87826745
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Sweden,SWE,4786.71187504
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Switzerland,CHE,2925.79361537
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Syrian Arab Republic,SYR,..
