PAÍS,CÓDIGOS PAÍS,Health_EXP,ACCES_BAS_AGUA,ANEMIA,MORTAND,TECLIMP,DESNUT
Togo,TGO,7.88492618,64.82759182,73.3,8.568,8.6,21.2
Tonga,TON,124.37019191,98.58597331,34,7.194,79.75,
Trinidad and Tobago,TTO,556.48208205,98.51909247,23.6,8.261,100,6.8
Tunisia,TUN,133.6561934,95.44404588,29.5,6.274,99.8,2.5
Turkmenistan,TKM,78.59692959,98.33812977,31.7,7.057,99.9,3.7
Tuvalu,TUV,423.84029438,100,44.7,,68.9,
Uganda,UGA,5.99604044,49.41834413,53.2,6.769,0.600000000000001,
Ukraine,UKR,75.97784136,93.72407862,24.1,14.5,95,2.5
United Arab Emirates,ARE,953.5337233,99.97133164,19.4,1.429,100,3.2
United Kingdom,GBR,3265.41027922,100.0000015,14.4,9.2,100,2.5
United States,USA,4965.9381477,99.53713865,5.9,8.638,100,2.5
Uruguay,URY,1008.23388115,99.26624962,24.5,9.461,100,2.5
Uzbekistan,UZB,56.30999934,97.68127077,23.7,5,84.3,2.5
Vanuatu,VUT,37.25801879,90.66152629,31.5,5.334,8.3,9.6
"Venezuela, RB",VEN,238.7686882,94.39418015,27,6.814,97.25,22.2
Vietnam,VNM,58.84340106,94.10246596,21.6,6.253,63.3,7.2
Zambia,ZMB,21.96397892,62.16720877,54.4,6.633,11.9,
Zimbabwe,ZWE,26.20058922,64.46896436,40.5,8.044,29.9,
